The Tenant of Wildfell Hall,Brontë Anne
Agnes Grey,Brontë Anne
Jane Eyre,Brontë Charlotte
Shirley,Brontë Charlotte
Villette,Brontë Charlotte
Wuthering Heights,Brontë Emily
The Thirty-Nine Steps,Buchan John
The Master and Margarita,Bulgakov Mikhail
The Pilgrim’s Progress,Bunyan John
A Clockwork Orange,Burgess Anthony
Inside Mr. Enderby,Burgess Anthony
Camilla,Burney Fanny
Evelina,Burney Fanny
Cecilia,Burney Fanny
Junkie,Burroughs William
Naked Lunch,Burroughs William
Queer,Burroughs William
The Wild Boys,Burroughs William
Erewhon,Butler Samuel
The Way of All Flesh,Butler Samuel
The Tartar Steppe,Buzzati Dino
The Virgin in the Garden,Byatt A.S.
Possession,Byatt A.S.
The Children's Book,Byatt A.S.
The Postman Always Rings Twice,Cain James M.
House in the Uplands,Caldwell Erskine
If On a Winter’s Night a Traveler,Calvino Italo
Invisible Cities,Calvino Italo
The Castle of Crossed Destinies,Calvino Italo
The Path to the Nest of Spiders,Calvino Italo
Our Ancestors,Calvino Italo
The Outsider,Camus Albert
The Plague,Camus Albert
The Rebel,Camus Albert
Auto-da-Fé,Canetti Elias
War with the Newts,Capek Karel
Breakfast at Tiffany’s,Capote Truman
In Cold Blood,Capote Truman
Oscar and Lucinda,Carey Peter
Jack Maggs,Carey Peter
Kingdom of This World,Carpentier Alejo
The Lost Steps,Carpentier Alejo
Alice’s Adventures in Wonderland,Carroll Lewis
Through the Looking Glass,Carroll Lewis
Nights at the Circus,Carter Angela
The Passion of New Eve,Carter Angela
Wise Children,Carter Angela
Bebo's Girl,Cassola Carlo
Solitude,Catala Victor
The Professor’s House,Cather Willa
Journey to the Alcarria,Cela Camilo Jose
The Hive,Cela Camilo Jose
Journey to the End of the Night,Céline Louis-Ferdinand
Soldiers of Salamis,Cercas Javier
Don Quixote,Cervantes Saavedra Miguel de
The Travels of Persiles and Sigismunda,Cervantes Saavedra Miguel de
The Amazing Adventures of Kavalier & Clay,Chabon Michael
The Big Sleep,Chandler Raymond
The Long Goodbye,Chandler Raymond
Farewell My Lovely,Chandler Raymond
Wild Swans,Chang Jung
Chaireas and Kallirhoe,Chariton
On the Black Hill,Chatwin Bruce
Monkey: Journey to the West,Cheng'en Wu
The Riddle of the Sands,Childers Erskine
The Taebaek Mountains,Cho Jung Rae
Dangerous Liaisons,Choderlos de Laclos Pierre
The Awakening,Chopin Kate
The Murder of Roger Ackroyd,Christie Agatha
On the Heights of Despair,Cioran Emil
2001: A Space Odyssey,Clarke Arthur C.
The Sorrow of Belgium,Claus Hugo
Fanny Hill,Cleland John
Les Enfants Terribles,Cocteau Jean
What a Carve Up!,Coe Jonathan
The Devil and Miss Prym,Coelho Paulo
Veronika Decides to Die,Coelho Paulo
Disgrace,Coetzee J.M.
Dusklands,Coetzee J.M.
In the Heart of the Country,Coetzee J.M.
The Life and Times of Michael K,Coetzee J.M.
Waiting for the Barbarians,Coetzee J.M.
Elizabeth Costello,Coetzee J.M.
Foe,Coetzee J.M.
Slow Man,Coetzee J.M.
The Master of Petersburg,Coetzee J.M.
Youth,Coetzee J.M.
Belle du Seigneur,Cohen Albert
Claudine's House,Colette
The Moonstone,Collins Wilkie
The Woman in White,Collins Wilkie
Heart of Darkness,Conrad Joseph
Nostromo,Conrad Joseph
The Secret Agent,Conrad Joseph
Lord Jim,Conrad Joseph
The Shadow Line,Conrad Joseph
The Lion of Flanders,Conscience Hendrik
Pricksongs and Descants,Coover Robert
The Public Burning,Coover Robert
Eline Vere,Couperus Louis
Arcadia,Crace Jim
The Enormous Room,Cummings E.E.
The Hours,Cunningham Michael
A Home at the End of the World,Cunningham Michael
The Child of Pleasure,D'Annunzio Gabriele
Disappearance,Dabydeen David
Nervous Conditions,Dangarembga Tsitsi
House of Leaves,Danielewski Mark Z.
Fifth Business,Davies Robertson
The End of the Story,Davis Lydia
On Love,de Botton Alain
Hebdomeros,de Chirico Giorgio de
The Viceroys,De Roberto Federico
Moll Flanders,Defoe Daniel
Robinson Crusoe,Defoe Daniel
Roxana,Defoe Daniel
The Heretic,Delibes Miguel
Mao II,DeLillo Don
Underworld,DeLillo Don
White Noise,DeLillo Don
Libra,DeLillo Don
Ratner’s Star,DeLillo Don
The Body Artist,DeLillo Don
The Names,DeLillo Don
Falling Man,DeLillo Don
Thomas of Reading,Deloney Thomas
Clear Light of Day,Desai Anita
The Inheritance of Loss,Desai Kiran
All About H. Hatterr,Desani G.V.
Small Remedies,Deshpande Shashi
The Conquest of New Spain,Díaz del Castillo Bernal
The Brief Wondrous Life of Oscar Wao,Díaz Junot
Do Androids Dream of Electric Sheep?,Dick Philip K.
Bleak House,Dickens Charles
David Copperfield,Dickens Charles
Great Expectations,Dickens Charles
Oliver Twist,Dickens Charles
A Christmas Carol,Dickens Charles
A Tale of Two Cities,Dickens Charles
Hard Times,Dickens Charles
Martin Chuzzlewit,Dickens Charles
Our Mutual Friend,Dickens Charles
The Life and Adventures of Nicholas Nickleby,Dickens Charles
Jacques the Fatalist,Diderot Denis
